id,customer_id,order_date
1,1602,2024-11-16
2,2409,2024-10-10
3,341,2024-08-18
4,2818,2024-04-14
5,2497,2024-05-05
6,4931,2024-04-05
7,1726,2024-11-18
8,1690,2024-02-03
9,3268,2024-04-18
10,4407,2024-06-24
11,262,2024-04-04
12,1443,2024-10-18
13,406,2024-06-29
14,2191,2024-08-09
15,4438,2024-08-25
16,244,2024-09-16
17,4586,2024-05-27
18,4108,2024-05-10
19,561,2024-01-12
20,4138,2024-07-10
21,2726,2024-05-06
22,594,2024-03-11
23,1827,2024-07-08
24,3230,2024-03-23
25,3288,2024-05-17
26,4074,2024-11-05
27,134,2024-04-10
28,3139,2024-05-12
29,3920,2024-04-18
30,73,2024-08-19
31,4495,2024-09-29
32,4226,2024-04-17
33,2979,2024-08-03
34,4362,2024-01-04
35,1986,2024-07-19
36,793,2024-03-15
37,4260,2024-02-03
38,95,2024-04-03
39,1134,2024-10-06
40,4918,2024-06-06
41,238,2024-07-08
42,2947,2024-08-03
43,2531,2024-10-21
44,1961,2024-04-03
45,1049,2024-09-25
46,2530,2024-07-03
47,2965,2024-09-07
48,964,2024-10-03
49,537,2024-07-09
50,4224,2024-06-23
51,3680,2024-11-03
52,4188,2024-01-07
53,3725,2024-02-06
54,543,2024-04-24
55,846,2024-03-27
56,3604,2024-06-06
57,3037,2024-09-25
58,2495,2024-04-04
59,4486,2024-04-28
60,2720,2024-09-14
61,1885,2024-08-13
62,4139,2024-05-23
63,4350,2024-07-02
64,3202,2024-08-02
65,2711,2024-07-25
66,1954,2024-05-13
67,4738,2024-06-14
68,3851,2024-10-16
69,690,2024-08-01
70,1951,2024-05-08
71,457,2024-05-16
72,2131,2024-09-29
73,3977,2024-06-25
74,4245,2024-04-15
75,1180,2024-04-29
76,4286,2024-04-07
77,3566,2024-03-30
78,883,2024-02-16
79,400,2024-10-07
80,609,2024-03-15
81,1639,2024-05-02
82,2149,2024-02-16
83,1383,2024-10-15
84,1404,2024-07-27
85,820,2024-10-23
86,3293,2024-09-25
87,820,2024-03-12
88,420,2024-03-15
89,4220,2024-03-25
90,4518,2024-10-13
91,3303,2024-07-07
92,1509,2024-04-17
93,768,2024-10-08
94,2045,2024-08-16
95,2140,2024-10-22
96,3030,2024-07-22
97,1550,2024-08-19
98,1765,2024-04-19
99,2646,2024-02-09
100,3717,2024-11-19
101,4606,2024-03-16
102,4482,2024-04-25
103,2294,2024-03-29
104,4838,2024-05-20
105,2709,2024-03-10
106,901,2024-04-27
107,3085,2024-01-06
108,2010,2024-10-01
109,242,2024-07-26
110,2386,2024-02-19
111,4269,2024-04-16
112,672,2024-01-18
113,164,2024-01-22
114,465,2024-08-02
115,3043,2024-04-23
116,4593,2024-09-27
117,4796,2024-02-19
118,2443,2024-09-04
119,4799,2024-10-19
120,2356,2024-07-09
121,4279,2024-02-09
122,4725,2024-01-05
123,2558,2024-08-10
124,546,2024-04-20
125,4720,2024-07-01
126,3836,2024-07-04
127,594,2024-06-20
128,4840,2024-05-12
129,3805,2024-03-12
130,1460,2024-01-20
131,3494,2024-04-08
132,2602,2024-07-04
133,2445,2024-02-14
134,2673,2024-11-15
135,4201,2024-01-26
136,17,2024-06-04
137,3192,2024-07-09
138,393,2024-01-29
139,425,2024-08-12
140,572,2024-09-01
141,3632,2024-09-23
142,1121,2024-01-21
143,242,2024-02-28
144,3898,2024-02-27
145,4096,2024-11-11
146,2280,2024-08-06
147,789,2024-04-27
148,715,2024-02-03
149,4855,2024-04-06
150,2850,2024-02-16
151,776,2024-08-04
152,4027,2024-10-23
153,2248,2024-06-10
154,79,2024-08-23
155,3927,2024-08-19
156,856,2024-11-03
157,2149,2024-08-28
158,1032,2024-03-28
159,4941,2024-10-28
160,3272,2024-07-21
161,3577,2024-05-27
162,4183,2024-06-23
163,3457,2024-06-20
164,3507,2024-04-25
165,408,2024-08-16
166,2712,2024-06-15
167,3089,2024-04-28
168,1669,2024-08-08
169,148,2024-08-29
170,4328,2024-01-24
171,3898,2024-08-24
172,1951,2024-10-14
173,366,2024-02-08
174,1675,2024-10-23
175,4532,2024-03-21
176,4495,2024-08-30
177,2547,2024-03-22
178,563,2024-04-12
179,3563,2024-09-13
180,2490,2024-02-01
181,773,2024-03-01
182,2038,2024-04-03
183,3424,2024-03-08
184,2568,2024-08-02
185,1574,2024-01-30
186,3695,2024-03-01
187,3292,2024-01-02
188,1247,2024-06-07
189,3720,2024-06-23
190,3840,2024-09-24
191,360,2024-08-18
192,2377,2024-07-01
193,3010,2024-04-23
194,2994,2024-01-13
195,963,2024-03-30
196,3633,2024-04-21
197,1828,2024-10-01
198,1614,2024-04-19
199,1641,2024-09-30
200,2217,2024-06-25
201,4313,2024-01-28
