order_id,product_id,quantity
5966,22,8
2270,940,12
8836,378,8
4722,881,6
8409,549,13
196,703,1
3274,108,19
5111,983,13
7402,387,5
3213,173,17
2756,90,13
1522,873,17
5675,163,18
1081,765,14
5624,490,4
722,492,8
1563,550,17
640,450,9
4261,852,4
5191,124,18
3737,466,7
7747,553,18
90,846,12
1252,988,16
9295,478,6
4704,236,13
349,16,3
4053,306,10
2942,504,16
8438,420,7
272,559,3
2031,379,5
7837,189,16
9658,338,8
9388,199,15
7042,267,7
5176,911,6
9807,686,14
1127,204,10
4380,756,11
8709,124,5
9494,253,6
8053,191,14
612,985,11
750,834,16
1857,395,16
8592,616,16
1527,545,4
6230,634,15
8512,12,13
8528,388,17
2099,179,7
7866,233,14
174,596,16
9834,869,11
501,986,8
3647,771,13
6220,573,19
2364,43,15
7541,770,18
1897,72,1
5760,473,1
9911,512,11
1779,559,6
3058,344,8
5191,252,1
6998,531,19
4748,992,19
9287,513,17
46,962,8
7759,908,4
9638,299,7
7054,55,5
3202,169,16
456,738,10
9855,614,19
2925,191,14
7799,318,6
966,878,11
4965,313,16
1529,730,4
2977,532,6
3072,782,18
4870,933,18
6388,875,1
2522,840,10
6526,117,14
1127,252,1
6633,959,14
5774,517,17
7717,939,2
3405,852,19
4493,583,9
2344,51,11
107,709,18
3155,504,3
4054,751,19
4802,240,19
6140,41,1
5581,727,19
215,446,18
5401,919,4
6876,87,7
4290,913,6
4254,763,11
8657,425,3
6248,275,14
6178,541,6
7270,122,13
2373,132,1
6835,197,17
8784,202,4
6618,654,14
5151,805,5
9076,426,5
8103,184,10
4159,995,11
7728,4,13
5207,774,6
304,367,19
334,779,13
4507,727,14
2332,404,5
4562,722,7
80,398,12
3764,769,19
5197,768,18
733,249,8
3977,703,18
5660,361,2
1385,358,10
2125,599,4
6653,223,2
5284,654,6
7177,583,15
9391,561,7
6606,902,4
5708,688,18
2293,829,6
8377,663,17
998,808,14
4665,717,9
2358,697,18
5492,150,11
1680,635,11
5716,658,3
4887,929,7
7441,507,8
6822,123,14
3528,587,4
6814,519,5
2746,552,11
4091,748,18
6159,110,7
8562,349,13
7472,577,16
3744,167,9
9896,574,11
7009,895,7
3325,817,14
8633,985,5
3258,34,11
227,346,2
2402,492,4
4719,637,13
1025,443,3
5673,638,1
7728,847,14
5281,285,7
871,793,15
3200,572,14
1746,762,9
5271,70,7
8636,500,5
5887,27,8
5591,324,17
7898,580,2
8665,364,15
8272,761,18
5159,427,4
8432,618,14
590,293,9
9553,178,15
1885,540,19
5400,932,12
8504,981,15
1077,579,3
